restaurant_id,cuisine
353,North Indian
353,Maharashtrian
353,Bar Food
354,Mughlai
354,Maharashtrian
354,Chinese
354,North Indian
355,Beverages
355,Mughlai
355,Chinese
355,North Indian
356,Italian
356,Maharashtrian
356,Chinese
356,North Indian
357,Fast Food
357,Continental
357,Chinese
357,North Indian
358,Chinese
358,North Indian
359,Desserts
359,Fast Food
359,Italian
359,Continental
359,Chinese
359,North Indian
360,Chinese
360,Continental
360,Mughlai
360,North Indian
361,Italian
361,Continental
361,North Indian
362,Mughlai
362,Seafood
362,Finger Food
362,Chinese
362,North Indian
363,Asian
363,Finger Food
364,Mughlai
364,Asian
364,Continental
364,North Indian
365,Continental
366,Beverages
366,Continental
366,Chinese
366,North Indian
367,Fast Food
367,North Indian
367,Thai
367,Chinese
367,Continental
368,Continental
368,Finger Food
368,North Indian
369,Italian
369,Mexican
369,North Indian
370,Fast Food
370,Chinese
370,North Indian
371,Continental
371,North Indian
372,South Indian
372,North Indian
372,Italian
372,American
373,Maharashtrian
373,Seafood
373,North Indian
374,Maharashtrian
375,Continental
375,Chinese
375,North Indian
376,Goan
376,Chinese
376,North Indian
376,Bar Food
377,European
377,Continental
377,Chinese
377,North Indian
378,Continental
378,North Indian
378,Bar Food
379,Salad
379,Continental
379,Chinese
379,North Indian
380,Beverages
380,Desserts
380,Biryani
380,Mughlai
380,Chinese
380,North Indian
381,Chinese
381,Fast Food
381,North Indian
382,Chinese
382,Mughlai
382,Malwani
382,North Indian
383,Pizza
383,Mediterranean
383,Healthy Food
383,Continental
383,Salad
384,Desserts
384,Italian
384,Sandwich
384,Beverages
384,Salad
384,Bakery
384,American
384,European
385,North Indian
385,Italian
385,Modern Indian
385,Continental
386,Chinese
386,Mughlai
386,Asian
386,Continental
386,North Indian
387,Kebab
387,Malwani
387,Fast Food
387,Continental
387,Chinese
387,North Indian
388,Chinese
388,Mughlai
388,North Indian
389,Beverages
389,Desserts
389,Rolls
389,Biryani
389,Continental
389,Chinese
389,North Indian
390,Chinese
390,Fast Food
390,North Indian
391,Chinese
391,Fast Food
391,North Indian
392,Fast Food
392,Chinese
392,South Indian
392,North Indian
393,Fast Food
393,Chinese
393,South Indian
393,North Indian
394,Beverages
394,Fast Food
394,South Indian
394,North Indian
394,Chinese
395,Fast Food
395,Chinese
395,South Indian
395,North Indian
396,Chinese
396,Mughlai
396,Malwani
396,North Indian
397,Chinese
397,Mughlai
397,North Indian
398,Chinese
398,Mughlai
398,North Indian
399,Chinese
399,Mughlai
399,North Indian
400,Chinese
400,Mughlai
400,North Indian
401,Chinese
401,Mughlai
401,North Indian
402,Chinese
402,North Indian
403,Chinese
403,North Indian
404,North Indian
404,Italian
404,Bar Food
405,North Indian
405,Italian
406,Desserts
406,Bakery
406,Cafe
407,Italian
407,Continental
407,North Indian
408,Asian
408,North Indian
408,Mexican
409,Thai
409,Salad
409,Continental
409,Italian
410,Chinese
410,Seafood
410,Mangalorean
410,North Indian
411,Bar Food
411,North Indian
411,Mexican
411,Italian
412,Salad
412,Steak
412,Continental
413,Healthy Food
413,Salad
413,North Indian
413,Italian
414,Continental
414,Finger Food
414,Beverages
414,Healthy Food
414,Steak
414,European
414,Salad
415,Beverages
415,Sushi
415,Thai
415,Asian
416,European
416,Finger Food
416,North Indian
416,Italian
416,Continental
417,Chinese
417,Malwani
417,North Indian
418,Finger Food
418,Pizza
418,Continental
419,Continental
419,Chinese
419,North Indian
420,Seafood
420,Konkan
420,North Indian
420,Biryani
421,Singaporean
421,Indonesian
421,Japanese
421,Thai
421,Malaysian
421,Chinese
422,Seafood
422,Finger Food
422,North Indian
422,Continental
423,Mughlai
423,Seafood
423,North Indian
423,Chinese
424,Pizza
424,Chinese
424,Momos
424,Finger Food
425,Bar Food
426,Mughlai
426,Bar Food
426,North Indian
427,Desserts
427,Pizza
427,Seafood
427,Chinese
427,Asian
427,Continental
427,North Indian
428,Rajasthani
429,Mexican
429,Italian
429,Chinese
429,North Indian
430,Continental
430,Chinese
430,North Indian
431,Kebab
431,Continental
431,Chinese
431,North Indian
432,Burger
432,Italian
432,Salad
432,Asian
432,Continental
432,North Indian
433,Italian
433,North Indian
433,Chinese
433,Continental
434,Desserts
434,North Indian
434,Chinese
434,Mexican
434,Italian
435,Continental
435,Italian
435,Chinese
435,North Indian
436,Chinese
436,Thai
436,North Indian
437,Maharashtrian
437,Malwani
437,Seafood
438,Continental
438,Chinese
438,North Indian
439,Finger Food
439,Bar Food
439,Continental
439,Chinese
439,North Indian
440,Continental
440,Chinese
440,North Indian
440,South Indian
441,Biryani
441,Chinese
441,North Indian
442,Seafood
442,Mughlai
442,Chinese
442,North Indian
443,Continental
443,North Indian
443,Japanese
443,Chinese
444,BBQ
444,Fast Food
444,Italian
444,Chinese
444,Modern Indian
445,Beverages
445,Chinese
445,North Indian
446,Mughlai
446,Chinese
446,North Indian
447,Continental
447,Thai
447,Japanese
447,Chinese
447,North Indian
448,Finger Food
448,Bar Food
449,Continental
449,Chinese
449,North Indian
450,Italian
450,Thai
450,Chinese
450,Continental
450,North Indian
451,Bar Food
451,Chinese
451,Continental
451,Asian
451,North Indian
452,Biryani
452,Seafood
452,Chinese
452,North Indian
453,Finger Food
454,Fast Food
454,Continental
454,Seafood
454,Kebab
454,North Indian
454,Asian
454,Finger Food
455,Biryani
455,Mughlai
455,Continental
455,Asian
455,North Indian
456,North Indian
456,Italian
456,Continental
457,Finger Food
458,Continental
458,Chinese
458,North Indian
459,Chinese
459,North Indian
460,Continental
460,Chinese
460,North Indian
461,Chinese
461,North Indian
462,Continental
462,Chinese
462,North Indian
463,Italian
464,Chinese
464,North Indian
464,South Indian
464,Seafood
465,Pizza
465,Fast Food
465,Desserts
465,Continental
466,Bar Food
466,Seafood
466,Asian
466,Thai
466,Chinese
467,Maharashtrian
467,Malwani
467,Goan
467,Seafood
468,Continental
468,Fast Food
468,North Indian
469,Burger
469,American
470,Desserts
470,Mediterranean
470,Continental
470,Cafe
471,Lucknowi
471,Mughlai
471,North Indian
471,Biryani
472,Seafood
472,Chinese
472,South Indian
472,North Indian
473,Indonesian
473,Burmese
473,Japanese
473,Malaysian
473,Thai
474,Beverages
474,Desserts
474,Mexican
474,Italian
474,Continental
474,Salad
475,Thai
475,Chinese
476,Salad
476,Bengali
476,North Indian
476,Chinese
477,Seafood
477,Chinese
477,Maharashtrian
477,North Indian
478,Mughlai
478,Seafood
478,North Indian
478,Biryani
479,Desserts
479,Mediterranean
479,Continental
479,Cafe
480,Desserts
480,Mediterranean
480,Continental
480,Cafe
481,Desserts
481,Mediterranean
481,Continental
481,Cafe
482,Desserts
482,Mediterranean
482,Continental
482,Cafe
483,Beverages
483,Italian
483,Continental
483,North Indian
484,Biryani
484,Mughlai
484,North Indian
485,North Indian
485,Finger Food
485,Continental
485,Asian
486,Seafood
486,Asian
486,Chinese
487,Continental
487,North Indian
488,Salad
488,Japanese
488,Thai
488,Chinese
489,Beverages
489,Mughlai
489,Chinese
489,North Indian
490,Beverages
490,Continental
490,Fast Food
490,North Indian
490,Italian
491,Seafood
491,Chinese
491,Mughlai
491,North Indian
492,Sushi
492,Chinese
492,Asian
492,Beverages
493,Maharashtrian
494,Fast Food
494,Salad
494,Italian
494,Mughlai
494,Chinese
494,North Indian
495,American
495,Italian
495,European
496,Beverages
496,Chinese
496,North Indian
497,Finger Food
497,Bar Food
497,Ice Cream
497,Biryani
497,Continental
497,Mughlai
497,Chinese
497,North Indian
498,Chinese
498,European
498,North Indian
498,Asian
498,Continental
499,Mughlai
499,Seafood
499,Chinese
499,North Indian
500,Continental
500,Asian
500,Chinese
500,North Indian
501,Beverages
501,Kebab
501,Chinese
501,North Indian
502,Seafood
502,Chinese
502,North Indian
503,Seafood
503,Chinese
503,North Indian
504,Italian
504,Asian
504,European
504,North Indian
505,Asian
505,Japanese
505,Korean
506,Salad
506,Chinese
506,Italian
506,Continental
506,North Indian
507,Mangalorean
507,Seafood
507,Chinese
507,North Indian
508,Beverages
508,Chinese
508,North Indian
509,Beverages
509,Desserts
509,Continental
509,Italian
509,European
510,North Indian
510,Chettinad
510,Seafood
510,Mangalorean
511,Asian
511,Italian
511,Fast Food
511,Street Food
511,Salad
511,South Indian
511,North Indian
511,Continental
512,Asian
512,Italian
512,North Indian
513,Biryani
513,Mughlai
513,Continental
513,Chinese
513,North Indian
514,Beverages
514,Mughlai
514,Chinese
514,Fast Food
514,North Indian
515,Italian
515,Continental
515,Chinese
515,Mughlai
515,North Indian
516,North Indian
516,Fast Food
516,Chinese
517,Seafood
517,Thai
517,Malaysian
517,Chinese
518,Finger Food
518,Continental
518,North Indian
519,Chinese
519,Continental
519,North Indian
520,Mughlai
520,Chinese
520,North Indian
521,Asian
521,North Indian
522,Continental
522,Italian
522,Chinese
522,North Indian
523,Chinese
523,Italian
523,Mughlai
523,North Indian
524,Chinese
524,North Indian
525,Italian
525,Chinese
525,Continental
525,European
525,North Indian
526,Mughlai
526,Seafood
526,Chinese
526,North Indian
527,Italian
527,Chinese
528,Chinese
528,Fast Food
528,Continental
529,Chinese
529,Italian
529,Asian
529,Mughlai
529,North Indian
530,Fast Food
530,Mexican
530,Italian
530,Chinese
530,North Indian
530,South Indian
531,Bar Food
531,Continental
531,Chinese
531,North Indian
532,Goan
532,Mughlai
532,North Indian
533,Continental
533,Chinese
533,North Indian
534,Continental
534,Chinese
534,North Indian
535,Mughlai
535,Italian
535,Asian
535,Continental
535,North Indian
536,Fast Food
536,Kebab
536,Malwani
536,North Indian
537,Chinese
537,Seafood
537,North Indian
537,Mughlai
538,Chinese
538,Thai
538,North Indian
539,Malwani
539,Mughlai
539,Chinese
539,North Indian
540,Seafood
540,North Indian
540,Chinese
540,Continental
541,Thai
541,Italian
541,North Indian
541,Asian
542,Maharashtrian
542,Chinese
542,North Indian
543,Fast Food
543,Mexican
543,Italian
543,Chinese
543,North Indian
543,South Indian
544,Beverages
544,Ice Cream
544,Fast Food
544,Mexican
544,North Indian
544,Chinese
544,Street Food
544,South Indian
545,Beverages
545,Ice Cream
545,North Indian
545,Chinese
545,Fast Food
545,South Indian
546,Beverages
546,Ice Cream
546,North Indian
546,Chinese
546,Fast Food
546,South Indian
547,Chinese
547,North Indian
548,Beverages
548,Biryani
548,Mughlai
548,Continental
548,North Indian
548,Italian
549,Fast Food
549,Continental
549,Chinese
