"restaurant_id","restaurant_name","restaurant_type","area","dine_rating","dine_reviews","delivery_rating","delivery_reviews","cost_for_two","liked"
"2893","Davangere Benne Dosa","","Baner","0.0","0","0.0","0","200",""
"2894","Pune Sandwich Company","","Wadgaon Sheri","3.8","96","0.0","0","300","Sandwich, Bagel, Potato Wedges, Garlic Bread, Chilli Cheese, French Fries"
"2895","Hungers Grab","","Kharadi","3.6","55","0.0","0","400",""
"2896","Ya Basa-The Dhaba","Casual Dining","Kharadi","4.2","1962","3.6","4289","700","Tandoori Chicken, Murgh Matka Biryani, Paneer Musallam, Gulab Jamun, Gavran Chicken, Dal Tadka, Chicken Biryani"
"2897","Puran Singh Da Dhaba","","Wadgaon Sheri","0.0","0","0.0","0","500",""
"2898","The Garage Grill","Quick Bites","Salunkhe Vihar Road","4.1","382","3.9","1470","450","Momos, Kathi Roll, Rolls, Beda Roti, Egg Roll, Mutton Keema, Chicken Momo"
"2899","Slay Coffee","","Pimple Nilakh","4.1","154","0.0","0","300",""
"2900","Charcoal Eats","Quick Bites","Pimple Saudagar","3.9","171","3.4","971","350","Loaded Fries, Rolls, Afghani Biryani, Chicken Tikka Roll, Galauti Kebab, Rice Bowl, Mousse"
"2901","Speedy Wok","Casual Dining","Salunkhe Vihar Road","3.8","241","3.6","1482","950","Noodle, Chicken Dim Sum, Dumplings, Ramen, Chilli Chicken, Chinese Pizza, Momos"
"2902","Hotel Urmil","Quick Bites","Dhankawadi","3.4","61","0.0","0","500",""
"2903","Relax Pure Veg","Casual Dining","Katraj","3.4","71","3.9","743","700",""
"2904","Fry Pan","Quick Bites","Dhanori","3.9","91","0.0","0","350","Momos, Manchurian, Chilli Potatoes"
"2905","Kapila Kathi Kebab","Quick Bites","Dhole Patil Road","4.3","694","0.0","0","400","Rolls, Chicken Kathi Roll, Paneer Roll, Egg Roll, Kathi Kebab Roll, Chicken Tikka, Paratha"
"2906","Shrinidhi's Hyderabadi Spice","Casual Dining","Aundh","3.5","167","3.8","5173","800","Egg Biryani, Dum Biryani, Raita"
"2907","Slay Coffee","","Pimple Nilakh","4.1","154","0.0","0","300",""
"2908","Slay Coffee","","Kharadi","3.9","57","0.0","0","300",""
"2909","Slay Coffee","","Erandwane","4.3","148","0.0","0","300",""
"2910","Slay Coffee","","Bavdhan","4.3","53","0.0","0","300",""
"2911","Slay Coffee","","Wagholi","0.0","0","0.0","0","300",""
"2912","Slay Coffee","","Sinhgad Road","3.9","53","0.0","0","300",""
"2913","Slay Coffee","","Wadgaon Sheri","3.9","44","0.0","0","300",""
"2914","Slay Coffee","","Bibvewadi","0.0","0","0.0","0","300",""
"2915","Slay Coffee","","Hinjawadi","0.0","0","0.0","0","300",""
"2916","Slay Coffee","","Bhosari","0.0","0","0.0","0","300",""
"2917","Slay Coffee","","Wakad","0.0","0","0.0","0","300",""
"2918","Slay Coffee","","Ravet","0.0","0","0.0","0","300",""
"2919","Slay Coffee","","Katraj","0.0","0","0.0","0","300",""
"2920","Slay Coffee","","Kharadi","3.9","37","0.0","0","300",""
"2921","Slay Coffee","","Pimple Gurav","0.0","0","0.0","0","300",""
"2922","Slay Coffee","","Hinjawadi","0.0","0","0.0","0","300",""
"2923","Slay Coffee","","Sinhgad Road","0.0","0","0.0","0","300",""
"2924","Charcoal Eats","Quick Bites","Pimple Saudagar","3.9","171","3.4","971","350","Loaded Fries, Rolls, Afghani Biryani, Chicken Tikka Roll, Galauti Kebab, Rice Bowl, Mousse"
